	feature_index	feature_name	feature_weight
446	446	vectorizer__ano mulh	-3.020259065277872
361	361	vectorizer__amanh pq mulh	-1.940823085629468
130	130	vectorizer__actu	-1.7857471458058611
277	277	vectorizer__ajud eleg ess	-1.7857280908626265
184	184	vectorizer__aen total	-1.7427041985558687
210	210	vectorizer__agent	-1.6570765584390275
306	306	vectorizer__algu	-1.6107292364452606
101	101	vectorizer__acim tud	-1.6019557481956916
220	220	vectorizer__agor pra	-1.5425883550088717
137	137	vectorizer__ada l	-1.47517342541462
342	342	vectorizer__alzheim	-1.3592498246728217
139	139	vectorizer__ada pra	-1.3588637805134236
209	209	vectorizer__agend mar	-1.3329125747214996
21	21	vectorizer__abr tod	-1.3182770255984524
425	425	vectorizer__angol ganh x	-1.3023731010572124
343	343	vectorizer__am	-1.2958986600266764
86	86	vectorizer__ach nad	-1.2630937639196187
271	271	vectorizer__aind vai	-1.2600971754540853
452	452	vectorizer__ano urlh	-1.2510376105249825
348	348	vectorizer__am p	-1.2408258476859941
88	88	vectorizer__ach q	-1.2290354969352633
108	108	vectorizer__acontec eua	-1.2176436161350535
84	84	vectorizer__ach mulh	-1.2131464615309506
300	300	vectorizer__alemanh	-1.2013277260046213
362	362	vectorizer__amarel	-1.1814269415850809
274	274	vectorizer__ajud divulg	-1.1809611573335983
430	430	vectorizer__angol n europ	-1.171843841432039
435	435	vectorizer__angol vier	-1.1441665651087642
166	166	vectorizer__ador ess	-1.1416765308795869
13	13	vectorizer__abort	-1.1407102692699338
312	312	vectorizer__algu m sab	-1.1378959732556289
418	418	vectorizer__angol cub	-1.1265504430943307
116	116	vectorizer__acord s bad	-1.125140017199361
68	68	vectorizer__ach agor	-1.1245334351281038
3	3	vectorizer__abe	-1.1075760560398127
426	426	vectorizer__angol mesm	-1.1022983423545183
215	215	vectorizer__agor diz	-1.0909052654625206
227	227	vectorizer__agor to	-1.0867184321124452
218	218	vectorizer__agor n	-1.0810602717154996
368	368	vectorizer__ame ess	-1.0756758659739414
429	429	vectorizer__angol n consider	-1.0654846301917744
42	42	vectorizer__acab cheg	-1.0404378909349898
288	288	vectorizer__al m red	-1.037735292542953
334	334	vectorizer__alm	-1.0354125829502994
358	358	vectorizer__amanh	-1.0293860156875552
417	417	vectorizer__angol aind n	-0.9979287779931671
52	52	vectorizer__acab urlh	-0.9933695442849115
7	7	vectorizer__aberr es	-0.9929802247454935
169	169	vectorizer__ador fuf	-0.9927951329401798
464	464	vectorizer__anten	-0.9814953589540967
114	114	vectorizer__acord ortogr fic	-0.9803252781814641
405	405	vectorizer__ana carolin	-0.9788924119567375
346	346	vectorizer__am n	-0.9537930369347385
297	297	vectorizer__aleg	-0.9506779077530981
74	74	vectorizer__ach engr ado	-0.9505075202966876
125	125	vectorizer__acredit tod	-0.9426836196187715
157	157	vectorizer__administr	-0.9403807684744953
154	154	vectorizer__adicion v deo	-0.9375252066424817
65	65	vectorizer__acess urlh	-0.9344105767421059
195	195	vectorizer__afim aqu	-0.9301057872483515
283	283	vectorizer__aka m nic	-0.9223824653197163
407	407	vectorizer__anarqu	-0.9214111214767322
273	273	vectorizer__ajud	-0.9151096898656972
454	454	vectorizer__ansi	-0.914099521727712
433	433	vectorizer__angol n ter	-0.8973638922905122
58	58	vectorizer__aceit refugi	-0.8926267502121134
250	250	vectorizer__ai projet	-0.8925645707208625
149	149	vectorizer__adiant	-0.8924397892279475
438	438	vectorizer__angol x mal	-0.8842120711476963
159	159	vectorizer__admit	-0.8839712113250953
420	420	vectorizer__angol cur	-0.8837632365911883
261	261	vectorizer__aind n sup	-0.87930647320662
336	336	vectorizer__alt	-0.8785761389762822
422	422	vectorizer__angol d	-0.8759824005030019
131	131	vectorizer__aculp	-0.8691505713580974
138	138	vectorizer__ada l prim	-0.8673930304382304
61	61	vectorizer__aceit ser am	-0.8673930304382304
62	62	vectorizer__acert	-0.8673930304382304
23	23	vectorizer__abril	-0.8642090027992536
32	32	vectorizer__absurd total	-0.8593935513432581
241	241	vectorizer__aguent ser	-0.8573900812026463
11	11	vectorizer__abert inscr es	-0.8430068868740597
199	199	vectorizer__afirm n	-0.8368258982330417
98	98	vectorizer__ach vou	-0.8301654857093081
371	371	vectorizer__ame rid	-0.8240971730744138
24	24	vectorizer__abril ariquem	-0.8233014113390534
234	234	vectorizer__agradec	-0.8118826784354328
254	254	vectorizer__aind	-0.8116567439287001
232	232	vectorizer__agr	-0.7945227571612434
278	278	vectorizer__ajud refugi	-0.7864078153813341
327	327	vectorizer__alian contr podrid	-0.7840029237183206
212	212	vectorizer__agir contr	-0.7687673441462859
347	347	vectorizer__am n limit	-0.7673174603009977
107	107	vectorizer__acontec	-0.741916005153096
192	192	vectorizer__aff q	-0.7390612124781393
181	181	vectorizer__aeeee dilm	-0.7345241011714536
99	99	vectorizer__acid	-0.7283778257934707
243	243	vectorizer__ah liberdad	-0.7233849428135882
221	221	vectorizer__agor qu	-0.7206689661142477
351	351	vectorizer__am ric	-0.7173489225865288
461	461	vectorizer__ant serm adult	-0.7063835224526318
375	375	vectorizer__ament	-0.7000141865652407
411	411	vectorizer__and c mentionh	-0.6916032897924781
49	49	vectorizer__acab ouv	-0.6734984927440353
126	126	vectorizer__acredit tod generaliz	-0.6630898011462395
226	226	vectorizer__agor t mod	-0.6542713003886867
142	142	vectorizer__add	-0.6386035917089722
374	374	vectorizer__ame san es	-0.638463767293203
39	39	vectorizer__ac es	-0.6231942331463846
367	367	vectorizer__ame ar	-0.6184419568808142
34	34	vectorizer__abus post	-0.5866223819141339
127	127	vectorizer__acredit urlh	-0.5810565058190004
164	164	vectorizer__adolesc	-0.5716347340710745
256	256	vectorizer__aind ess	-0.5470926626316257
151	151	vectorizer__adicion dat	-0.534652141271154
437	437	vectorizer__angol x	-0.4949952326091316
1	1	vectorizer__abaix	-0.4767698246138781
459	459	vectorizer__ant refugi	-0.4693686262645929
350	350	vectorizer__am qu	-0.4419468500377468
100	100	vectorizer__acim	-0.3619009138716638
468	468	vectorizer__anunci	-0.2054622009830401
469	469	vectorizer__ap	-0.1885421221355958
275	275	vectorizer__ajud divulg prim	0.4827452377629463
57	57	vectorizer__aceit apart popul	0.48979369334152795
73	73	vectorizer__ach engr	0.5176567010279021
144	144	vectorizer__adept	0.5449692530462892
296	296	vectorizer__aldrab es assassin	0.5728259066895564
66	66	vectorizer__ach	0.5920862214430832
89	89	vectorizer__ach q vc	0.5959061008543887
453	453	vectorizer__ano vam	0.6119663149279946
81	81	vectorizer__ach m engr	0.6326777020335127
285	285	vectorizer__al femin	0.6326777020335127
344	344	vectorizer__am esquerd	0.6480307644186059
207	207	vectorizer__agend esquerd mand	0.6761905829650603
391	391	vectorizer__amizad	0.6788173326917517
290	290	vectorizer__alaket	0.7035807192699324
63	63	vectorizer__aces	0.7158917259917051
76	76	vectorizer__ach gay	0.7213374029898388
357	357	vectorizer__ama voc	0.7235387521844826
323	323	vectorizer__ali	0.725656999951254
200	200	vectorizer__afr	0.7293116962525455
449	449	vectorizer__ano par	0.7317351099970051
211	211	vectorizer__agir	0.7400729688549282
106	106	vectorizer__acompanh	0.7603406258987823
329	329	vectorizer__aliment	0.7659561038180784
173	173	vectorizer__adult	0.7672754108702178
54	54	vectorizer__acas	0.7696298019655781
59	59	vectorizer__aceit refugi aka	0.7830806229931376
193	193	vectorizer__aff q mulh	0.7834207242049198
5	5	vectorizer__aben oe	0.7861009383828828
75	75	vectorizer__ach ess	0.7919810367540946
310	310	vectorizer__algu m entend	0.8000006662935008
191	191	vectorizer__aff	0.8063082655309792
341	341	vectorizer__alvalad	0.8200284177812632
349	349	vectorizer__am pra	0.8261860019381402
